Dynamic Supplier Code,Name,Reseller Price Ex GST,Manufacturer,Category,Weight,Manufacturer OEM Code,Printer Compatibility,Cartridge Yield,Cartridge Type,/////,////,Length,Width,Height,Brisbane,Melbourne,Perth,Adelaide,Sydney,Barcode
12A7460,Lexm 12A7460 Prebate Cart,175.67,Lexmark,CON-LASER,2.25,12A7460,"LEXMARK T630,LEXMARK T632,LEXMARK T634,LEXMARK X634,LEXMARK X632","5,000 pages",Black,0.01937,LEX-LAS,0.402,0.158,0.305,0,>5,0,0,>5,7.34646E+11
12A7462,Lexm 12A7462 Prebate Cart,428.59,Lexmark,CON-LASER,2.76,12A7462,"LEXMARK T630,LEXMARK T632,LEXMARK T634,LEXMARK X634,LEXMARK X632","21,000 pages",Black,0.0192,LEX-LAS,0.4,0.16,0.3,0,1,0,0,>5,7.34646E+11
3DFABSBK,3D Filament ABS 1Kg Black,23.5,Printrite,CON-FILAM,1.49,LFD001BQ7J,FDM BASED 3D PRINTERS,,Black,0.00416,WHT-FILAM,0.21,0.09,0.22,1,0,5,0,0,6.95553E+12
3DFABSBL,3D Filament ABS 1Kg Blue,23.5,Printrite,CON-FILAM,1.49,LFD001UQ7J,FDM BASED 3D PRINTERS,,Blue,0.00416,WHT-FILAM,0.21,0.09,0.22,>5,>5,5,0,0,6.95553E+12
3DFABSG,3D Filament ABS 1Kg Green,23.5,Printrite,CON-FILAM,1.49,LFD001GQ7J,FDM BASED 3D PRINTERS,,Green,0.00416,WHT-FILAM,0.21,0.09,0.22,>5,>5,5,0,0,6.95553E+12
3DFABSR,3D Filament ABS 1Kg Red,23.5,Printrite,CON-FILAM,1.49,LFD001RQ7J,FDM BASED 3D PRINTERS,,Red,0.00416,WHT-FILAM,0.21,0.09,0.22,5,>5,5,0,0,6.95553E+12
3DFABSW,3D Filament ABS 1Kg White,23.5,Printrite,CON-FILAM,1.49,LFD001WQ7J,FDM BASED 3D PRINTERS,,White,0.00416,WHT-FILAM,0.21,0.09,0.22,2,>5,2,0,0,6.95553E+12
3DFABSY,3D Filament ABS 1Kg Yellow,23.5,Printrite,CON-FILAM,1.49,LFD001YQ7J,FDM BASED 3D PRINTERS,,Yellow,0.00416,WHT-FILAM,0.21,0.09,0.22,>5,>5,5,0,0,6.95553E+12
3DFPLABK,3D Filament PLA 1Kg Black,23.5,Printrite,CON-FILAM,1.49,LFD002BQ7J,FDM BASED 3D PRINTERS,,Black,0.00416,WHT-FILAM,0.21,0.09,0.22,>5,5,4,0,0,6.95553E+12
3DFPLABL,3D Filament PLA 1Kg Blue,23.5,Printrite,CON-FILAM,1.49,LFD002UQ7J,FDM BASED 3D PRINTERS,,Blue,0.00416,WHT-FILAM,0.21,0.09,0.22,>5,>5,4,0,0,6.95553E+12
3DFPLAR,3D Filament PLA 1Kg Red,23.5,Printrite,CON-FILAM,1.49,LFD002RQ7J,FDM BASED 3D PRINTERS,,Red,0.00416,WHT-FILAM,0.21,0.09,0.22,>5,>5,5,0,0,6.95553E+12
3DFPLAW,3D Filament PLA 1Kg White,23.5,Printrite,CON-FILAM,1.49,LFD002WQ7J,FDM BASED 3D PRINTERS,,White,0.00416,WHT-FILAM,0.21,0.09,0.22,>5,>5,3,0,0,6.95553E+12
3DFPLAY,3D Filament PLA 1Kg Yellow,23.5,Printrite,CON-FILAM,1.49,LFD002YQ7J,FDM BASED 3D PRINTERS,,Yellow,0.00416,WHT-FILAM,0.21,0.09,0.22,>5,>5,5,0,0,6.95553E+12
3DGPLAG,3D Filament PLA 1Kg Green,23.5,Printrite,CON-FILAM,1.49,LFD002GQ7J,FDM BASED 3D PRINTERS,,Green,0.00416,WHT-FILAM,0.21,0.09,0.22,>5,>5,5,0,0,6.95553E+12
B131B,Brother LC131 Black Ink Cart,23.76,Brother,CON-INK,0.05,LC-131BK,"BROTHER DCPJ152W,BROTHER DCPJ172W,BROTHER DCPJ552DW,BROTHER DCPJ752DW,BROTHER MFCJ245,BROTHER MFCJ470DW,BROTHER MFCJ475DW,BROTHER MFCJ650DW,BROTHER MFCJ870DW",up to 300 pages,Black,0.00027,BRO-INK-AU,0.09,0.025,0.12,>5,>5,>5,>5,>5,4.97777E+12
B131C,Brother LC131 Cyan Ink Cart,13.45,Brother,CON-INK,0.05,LC-131C,"BROTHER DCPJ152W,BROTHER DCPJ172W,BROTHER DCPJ552DW,BROTHER DCPJ752DW,BROTHER MFCJ245,BROTHER MFCJ470DW,BROTHER MFCJ475DW,BROTHER MFCJ650DW,BROTHER MFCJ870DW",up to 300 pages,Cyan,0.00027,BRO-INK-AU,0.09,0.025,0.12,>5,>5,>5,>5,>5,4.97777E+12
B131M,Brother LC131 Magenta Ink Cart,13.45,Brother,CON-INK,0.05,LC-131M,"BROTHER DCPJ152W,BROTHER DCPJ172W,BROTHER DCPJ552DW,BROTHER DCPJ752DW,BROTHER MFCJ245,BROTHER MFCJ470DW,BROTHER MFCJ475DW,BROTHER MFCJ650DW,BROTHER MFCJ870DW",up to 300 pages,Magenta,0.00027,BRO-INK-AU,0.09,0.025,0.12,>5,>5,>5,>5,>5,4.97777E+12
B131Y,Brother LC131 Yellow Ink Cart,13.45,Brother,CON-INK,0.05,LC-131Y,"BROTHER DCPJ152W,BROTHER DCPJ172W,BROTHER DCPJ552DW,BROTHER DCPJ752DW,BROTHER MFCJ245,BROTHER MFCJ470DW,BROTHER MFCJ475DW,BROTHER MFCJ650DW,BROTHER MFCJ870DW",up to 300 pages,Yellow,0.00027,BRO-INK-AU,0.09,0.025,0.12,>5,>5,>5,>5,>5,4.97777E+12
B133B,Brother LC133 Black Ink Cart,31.29,Brother,CON-INK,0.067,LC-133BK,"BROTHER DCP J4110DW,BROTHER MFC J4410DW,BROTHER MFC J4510DW,BROTHER MFC J4710DW,BROTHER MFCJ6920DW,BROTHER DCPJ152W,BROTHER MFCJ870DW,BROTHER DCPJ172W,BROTHER MFC J475DW,BROTHER MFCJ245,BROTHER MFCJ470DW,BROTHER MFCJ475DW,BROTHER MFC J6720DW,BROTHER MFC J6520DW,BROTHER MFC J650DW,BROTHER DPCJ552D,BROTHER DPCJ752D,BROTHER",up to 600 pages,Black,0.00025,BRO-INK-AU,0.14,0.09,0.02,>5,>5,>5,>5,>5,4.97777E+12
B133C,Brother LC133 Cyan Ink Cart,20.58,Brother,CON-INK,0.055,LC-133C,"BROTHER DCP J4110DW,BROTHER MFC J4410DW,BROTHER MFC J4510DW,BROTHER MFC J4710DW,BROTHER MFCJ6920DW,BROTHER DCPJ152W,BROTHER MFCJ870DW,BROTHER DCPJ172W,BROTHER MFC J475DW,BROTHER MFCJ245,BROTHER MFCJ470DW,BROTHER MFCJ475DW,BROTHER MFC J6720DW,BROTHER MFC J6520DW,BROTHER MFC J650DW,BROTHER DPCJ552DW,BROTHER DPCJ752DW,BROTHER",up to 600 pages,Cyan,0.00025,BRO-INK-AU,0.14,0.09,0.02,>5,>5,>5,>5,>5,4.97777E+12
